30 34.0 0.0259515570934 2.6489163313 1.00.09304172390110.9999964228510.9999985691610.7499992845680.0003648695054950.999992845714
68 50.0 0.0272 6.40528544726 1.041666666670.08528824690930.9999937399970.9999986883980.8829780675890.000334463713370.999987480032
49 36.0 0.0378086419753 9.25691093505 1.00.07753476991760.9999953497090.9999988076340.8529405802760.0003040579212450.999990699439
26 26.0 0.0384615384615 32.977585378 1.00.06202781593410.999997138280.9999990461070.7999995230450.0002432463369960.999994276569
86 56.0 0.0274234693878 15.8259599889 1.00.1550695398350.9999919514250.9999976152690.826085764130.0006081158424910.999983902916
189 80.0 0.02953125 24.2457505438 1.081081081080.1705764938190.999984976040.9999973767960.9043465144470.000668927426740.999969952306
39 34.0 0.0337370242215 38.1665188985 1.00.08528824690930.9999959458990.9999986883980.8070168880460.000334463713370.999991891814
53 42.0 0.0300453514739 44.9872491756 1.00.1007952008930.9999947535180.9999984499250.8266658916140.0003952752976190.999989507063
35 36.0 0.0270061728395 156.547550269 1.00.07753476991760.9999961843750.9999988076340.8148142186210.0003040579212450.999992368765
12 20.0 0.03 239.590671337 1.00.05427433894230.9999982114250.9999991653440.6956517565780.0002128405448720.999996422852
47 38.0 0.0325484764543 191.134999006 1.00.08528824690930.9999953497080.9999986883980.8358202397090.000334463713370.999990699438
107 60.0 0.0297222222222 213.757982721 1.111111111110.1085486778850.999990937910.9999983306880.8985498899620.0004256810897440.999981875901
14 18.0 0.0432098765432 635.897820945 1.00.03876738495880.9999982710440.9999994038170.791666368570.0001520289606230.999996542091
25 46.0 0.0118147448015 312.816886115 1.00.09304172390110.9999963632320.9999985691610.7551013253840.0003648695054950.999992726477
52 38.0 0.0360110803324 68.4138883003 1.00.1007952008930.9999949323750.9999984499250.8194436693920.0003952752976190.999989864775
23 24.0 0.0399305555556 294.165945818 1.00.06202781593410.9999973767570.9999990461070.7777773008230.0002432463369960.999994753521
6 28.0 0.00765306122449 98.8539285227 1.00.07753476991760.9999981518050.9999988076340.5238089276170.0003040579212450.999996303614
32 26.0 0.0473372781065 444.915159576 1.00.05427433894230.9999968401850.9999991653440.8478256696210.0002128405448720.999993680381
70 48.0 0.0303819444444 24.7881581258 1.043478260870.1007952008930.9999935611390.9999984499250.8631571196830.0003952752976190.999987122319
71 42.0 0.0402494331066 222.546161844 1.00.1007952008930.9999936803770.9999984499250.860214278710.0003952752976190.999987360793
